geneID,gene_symbol,GSM6290462,GSM6290463,GSM6290464,GSM6290466,GSM6290467,GSM6290468
ENSG00000056487,PHF21B,12,0,4,0,2,0
ENSG00000056558,TRAF1,296,169,117,36736,23103,50702
ENSG00000056586,RC3H2,2109,1704,1930,5224,6114,5779
ENSG00000056678,KIFC1,0,0,0,0,0,0
ENSG00000056736,IL17RB,38,68,36,18,5,2
ENSG00000056972,TRAF3IP2,1092,774,724,824,914,1301
ENSG00000056998,GYG2,787,863,699,44,51,70
ENSG00000057019,DCBLD2,543,533,570,932,803,1031
ENSG00000057149,SERPINB3,0,0,0,0,0,0
ENSG00000057252,SOAT1,1242,1421,1968,1113,1460,1277
ENSG00000057294,PKP2,27,40,25,16,35,14
ENSG00000057468,MSH4,1,4,2,0,0,0
ENSG00000057593,F7,0,0,0,10,4,5
ENSG00000057608,GDI2,15704,13515,13074,6830,7592,8536
ENSG00000057657,PRDM1,380,266,381,4265,4817,10155
ENSG00000057663,ATG5,1563,2048,1617,2273,2685,2736
ENSG00000057704,TMCC3,48,36,13,4,11,11
ENSG00000057757,PITHD1,1361,1391,943,1060,1173,1076
ENSG00000057935,MTA3,787,442,483,299,347,400
ENSG00000058056,USP13,972,1058,1308,1604,1888,2024
ENSG00000058063,ATP11B,2210,1949,2320,7247,8131,6255
ENSG00000058085,LAMC2,33,46,33,25,31,33
ENSG00000058091,CDK14,408,393,482,1032,902,1204
ENSG00000058262,SEC61A1,14845,13886,13626,9928,11966,13487
ENSG00000058272,PPP1R12A,2654,2315,3126,7033,7970,8870
ENSG00000058335,RASGRF1,70,42,78,51,44,246
ENSG00000058404,CAMK2B,232,190,112,49,64,156
ENSG00000058453,CROCC,1458,1479,1345,352,621,686
ENSG00000058600,POLR3E,2084,2107,2089,807,792,794
ENSG00000058668,ATP2B4,8569,5807,6599,910,1236,1258
ENSG00000058673,ZC3H11A,9406,7256,7946,16253,18540,16090
ENSG00000058729,RIOK2,1089,1381,1412,2713,2289,2318
ENSG00000058799,YIPF1,1336,1083,961,3503,4523,5888
ENSG00000058804,NDC1,6125,6302,6778,1490,1626,2112
ENSG00000058866,DGKG,640,537,696,54,47,88
ENSG00000059122,FLYWCH1,2537,1765,1484,381,556,766
ENSG00000059145,UNKL,2064,1351,833,904,1290,1471
ENSG00000059377,TBXAS1,408,285,226,281,282,671
ENSG00000059378,PARP12,1416,728,548,1887,1725,2715
ENSG00000059573,ALDH18A1,2224,2569,2338,634,720,520
ENSG00000059588,TARBP1,14675,9798,6668,1742,2281,3018
ENSG00000059691,GATB,567,590,654,152,203,331
ENSG00000059728,MXD1,534,285,306,3834,4170,5307
ENSG00000059758,CDK17,767,541,557,3666,3282,3455
ENSG00000059769,DNAJC25,296,306,180,768,768,691
ENSG00000059804,SLC2A3,384,86,193,79,89,341
