TNFAIP6
ADORA2A
CXCL8
CRIM1
DNAAF1
ZC3H12A
ELOVL7
NFKBIZ
CXCL2
NFKB1
None
None
BCL2A1
MIR9-1HG
MIR3142HG
None
CXCL3
GCH1
CLEC4E
MCTP1
SDC4
ZBTB10
KDM6B
None
ANKRD33B
CCL20
IRAK2
GRAMD1A
TNFAIP2
PRECSIT
MFSD2A
SOCS3
ICAM1
BCL9L
JUN
ATP2B1
NKX3-1
RASGEF1B
CXCL1
PNRC1
N4BP3
CCL4
MAP3K8
CFLAR
CD40
ZNF697
ZC3H12C
TNFAIP3
TP53BP2
NFIL3
NINJ1
NR4A3
SGPP2
SLC7A2
NFKBIA
NFKB2
SKIL
CCL4L2
IL1B
KYNU
CPEB4
TRIM36
PIM3
CD83
DRAM1
IER5
RIPK2
None
NFE2L2
HS3ST3B1
WTAP
BRI3BP
IRF1
E2F7
RAP2C
RFTN1
USP12
SUSD6
FLT1
CREB5
RAB8B
RNF144B
NBPF19
FMNL3
TNFRSF9
CARD9
GJB2
RND3
ARL5B
ACVR2A
USP53
CLIP2
ACHE
MTF1
TGFBR3
LIF
PPP1R15A
None
PHACTR3
HCAR3
GPR84
IL32
NCOA7
PIM1
TRAF3
GRAMD2B
UXS1
DAPP1
ZNFX1
C1QTNF1
SERPINB2
MAP3K5
TOM1
NFAT5
GBP5
STAT5A
None
SLC31A2
BIRC3
CXCL10
RELB
MARCKS
PDE4B
CYP7B1
PDSS1
RIMS3
STX11
SLC41A2
DNAJA4
ACSL1
SIX5
PPIF
SHROOM3
STARD4
REL
PSTPIP2
None
PLEKHF2
ADAD2
DENND5A
MINDY3
BTG1
None
NOTCH2NLA
BMT2
CYLD
TRIP10
FAM186B
UPB1
GADD45B
HIPK2
MMP1
TAB2
KCNJ2
ZBTB43
DEDD2
SCAMP5
ATP2C1
BTG3
CNKSR3
MTSS1
FEZ1
SMG1P1
RIPK2-DT
CT75
CLTCL1
DUSP1
SPRED2
NFKBID
BCL6
INTS6
DUSP8
PLEK
MSC
RPS6KA4
PPP1R15B
JUNB
SDCBP
PLK3
BAIAP2L1
IFFO2
ARID4B
RAPGEF2
ARID5B
LYRM4
None
TRAF1
EBI3
RRAS2
RAPH1
SAT1
NTSR1
ANXA5
ANKRD26P3
RGS16
ARHGAP24
LRRC45
DMXL2
COL4A2
CSNK1G3
CD55
ZNF267
ANKLE2
SLAMF7
OSGIN2
STAT4
CD58
PEA15
IL1A
ABTB2
DCP1A
BAG3
BRAF
PPTC7
SOX12
ZFY
RAB21
None
PCYT2
EIF2AK2
DNAJB6
SCN1B
